阿尔河	aar(n.);
人性化	anthropomorphize(v.);
人形化	anthropomorphosis(n.);
拟人	anthropopathic(adj.)|personification(n.);
拟人说	anthropopathism(n.);
食人族	anthropophagi(n.)|cannibal(n.);
食人者	anthropophagi(n.)|anthropophagite(n.);
食人	anthropophagous(adj.);
相术	anthroposcopy(n.);
人相学	anthroposcopy(n.)|physiognomy(n.);
花尾虫	anthurium(n.);
排斥	anti(pref.)|ostracism(n.)|ostracize(vt.)|reprobation(n.);
抗菌剂	antibacterial(n.)|antimicrobial(n.);
抗菌物	antibacterial(n.);
抗菌	antibiosis(n.)|antibiotic(adj.)|antimicrobial(adj.);
相克生	antibiosis(n.);
抗生素	antibiotic(n.)|antibiotics(n.);
抗生学	antibiotics(n.);
奇妙	antic(n.)|antic(adj.)|[法]bizarre(adj.)|queerly(adv.)|queerness(n.)|rumly(adv.)|singularity(n.)|strangely(adv.)|strangeness(n.);
奇异	antic(n.)|antic(adj.)|anticly(adv.)|bizarrerie(n.)|fantastic(adj.)|grotesque(n.)|marvel(n.)|outoftheway(adj.)|singularity(n.);
滑稽	antic(n.)|antic(adj.)|anticly(adv.)|buffoonery(n.)|comic(adj.)|facetious(adj.)|funny(adj.)|humor(n.)|humorous(adj.)|humorously(adv.)|jocular(adj.)|ludicrous(adj.)|waggery(n.);
小丑	antic(n.)|clown(n.)|jester(n.)|zany(n.);
抗龋	anticarious(adj.);
抗化剂	anticatalyst(n.);
阴氢剂	antichlor(n.);
反基督	antichristianism(n.);
预期者	anticipant(n.)|anticipator(n.);
预言者	anticipant(n.)|anticipator(n.)|predictor(n.)|prognosticator(n.)|seer(n.)|soothsayer(n.);
期望旳	anticipant(adj.);
期待	anticipant(adj.)|anticipate(v.)|anticipation(n.)|expectation(n.)|wait(v.);
预期	anticipate(v.)|anticipation(n.)|expectance(n.)|foretaste(n.)|prolepsis(n.)|proleptic(adj.);
预测	anticipation(n.)|forecast(n.)|prognosis(n.)|prognosticate(v.)|prognostication(n.);
占先	anticipation(n.)|anticipative(adj.)|forestall(vt.);
占先者	anticipator(n.);
突降法	anticlimax(n.);
突减	anticlimax(n.);
逆斜	anticlinal(adj.);
背斜	anticline(n.);
古怪	anticly(adv.)|erratic(adj.)|pixilated(adj.)|quizzical(adj.)|rumly(adv.)|viewy(adj.);
散屑器	anticoherer(n.);
反对易	anticommute(v.);
负对易	anticommute(v.);
防腐剂	anticorrosive(n.)|antiseptic(n.);
解毒剂	antidote(n.);
矫正法	antidote(n.);
反徵兵	antidraft(n.);
逆向	antidromic(adj.)|retrorse(adj.);
正电子	antielectron(n.)|positron(n.);
正子	antielectron(n.);
阳电子	antielectron(n.)|positron(n.);
抗酵素	antienzyme(n.);
解热剂	antifebrile(n.)|antipyretic(n.);
解热	antifebrile(adj.)|antipyretic(adj.);
退热	antifebrile(adj.)|antipyretic(adj.);
排外	antiforeign(adj.)|exclusive(adj.);
防冻剂	antifreeze(n.);
防冻	antifreezing(adj.);
抗凝	antifreezing(adj.);
防毒	antigas(adj.);
对耳轮	antihelix(n.);
抗爆剂	antiknock(n.);
减震剂	antiknock(n.);
逆对数	antilogarithm(n.);
反对数	antilogarithm(n.);
抗溶素	antilysim(n.);
椅套	antimacassar(n.);
防磁	antimagnetic(adj.);
抗疟药	antimalarial(n.);
抗疟	antimalarial(adj.);
反物质	antimatter(n.);
杀菌剂	antimicrobial(n.)|antiseptic(n.)|bactericide(n.)|germicide(n.);
杀菌	antimicrobial(adj.)|antisepticise(v.)|bactericidal(adj.)|disinfect(vt.)|disinfection(n.)|germicide(adj.);
锑酸盐	[化]antimonate(n.);
锑的	[化]antimonic(adj.);
含锑	[化]antimonic(adj.);
锑化物	[化]antimonide(n.);
有锑	[化]antimonous(adj.);
似锑	[化]antimonous(adj.);
亚锑	[化]antimonous(adj.);
锑	[化]antimony(n.)|stibium(n.);
锑醯基	[化]antimoyl(n.);
抗徽素	antimycin(n.);
反中子	antineutron(n.);
腹	[波]antinode(n.)|belly(n.)|paunch(n.);
矛盾	antinomy(n.)|contradiction(n.)|contrary(n.)|discrepancy(n.)|incompatibility(n.)|repugnance(n.);
反核子	antinucleon(n.);
反粒子	antiparticle(n.);
防汗药	antiperspirant(n.);
退汗药	antiperspirant(n.);
消炎剂	antiphlogistic(n.)|antipyrotic(n.);
消炎	antiphlogistic(adj.);
解炎	antiphlogistic(adj.);
消炎膏	antiphlogistin(n.);
消肿膏	antiphlogistin(n.);
对跖	antipodal(adj.)|antipodean(adj.);
相反性	antipole(n.);
反质子	antiproton(n.);
止痒剂	antipruritic(n.);
止痒	antipruritic(adj.);
防痒	antipruritic(adj.);
退热药	antipyretic(n.)|febrifuge(n.);
反夸古	antiquark(n.);
古物	antique(n.);
防锈剂	antirust(n.);
防锈	antirust(adj.)|rustproof(n.);
不锈	antirust(adj.)|rustproof(n.)|rustproof(adj.);
防腐法	antisepsis(n.)|asepsis(n.);
消毒法	antisepsis(n.);
防腐	antiseptic(adj.)|antisepticise(v.)|aseptic(adj.);
无菌	antiseptic(adj.)|asepsis(n.)|aseptic(adj.)|sterile(adj.);
消毒	antisepticise(v.)|disinfect(vt.)|disinfection(n.)|sanitize(v.);
反侧音	antisidetone(n.);
反共振	antisonance(n.);
镇痉剂	antispasmodic(n.);
消声器	antisqueak(n.);
回舞歌	antistrophe(n.);
回舞	antistrophic(adj.);
对唱	antistrophic(adj.);
止汗剂	antisudorific(n.);
防汗剂	antisudorific(n.);
防汗	antisudorific(adj.);
无神论	antitheism(n.)|atheism(n.);
对照	antitheses(n.)|compare(v.)|contrast(n.);
正相反	antitheses(n.)|antithesis(n.);
对比法	antitheses(n.)|antithesis(n.);
对偶	antithesis(n.);
对照格	antithesis(n.);
抗毒	antitoxic(n.)|antitoxic(adj.);
抗毒素	antitoxin(n.);
反信风	antitrades(n.);
对耳屏	antitragus(n.);
止咳药	antitussive(n.);
镇咳药	antitussive(n.);
反战	antiwar(adj.);
蚁狮	antlion(n.);
蛟蛉	antlion(n.);
换称	antonomasia(n.);
反义字	antonym(n.);
反义语	antonym(n.);
对语	antonym(n.);
窦	antrum(n.)|sinus(n.);
腔	antrum(n.)|cavity(n.)|cele|coel|coele;
房	antrum(n.);
无尿	anuresis(n.);
肛门	anus(n.);
铁砧	anvil(n.)|stithy(n.);
砧	anvil(n.);
挂虑	anxiety(n.)|care(n.)|concerned(adj.);
忧虑	anxious(adj.)|anxiously(adv.)|apprehend(vt.)|apprehension(n.)|apprehensive(adj.)|fear(n.)|misgiving(n.)|stew(v.)|tremble(v.)|trepidation(n.)|worrier(n.)|worry(n.);
什麽	any(adj.)|anything(pro.)|[pron]what;
谁也	anybody(pro.)|anyone(pro.);
谁都	anybody(pro.)|anyone(pro.);
谁	anybody(pro.)|who(pro.)|whom(pro.);
横竖	anyhow(adv.)|anyway(adv.);
总之	anyhow(adv.)|anyway(adv.);
什麽都	anything(pro.);
完美	aok|perfect(adj.)|perfection(n.);
大动脉	aorta(n.);
快	apace(adv.)|fast(adv.)|swiftness(n.);
急	apace(adv.)|hastily(adv.)|hurry(n.)|hurry(v.);
速	apace(adv.)|fast(adv.);
分散	apart(adv.)|disperse(vt.)|distract(vt.)|split(adj.)|ungroup(v.);
公寓	apartment(n.)|[英]mansion(n.);
房间	apartment(n.)|room(n.);
无感情	apathy(n.);
磷灰石	[矿]apatite(n.)|phosphorite(n.);
无尾猿	ape(n.);
仿效	ape(vt.);
垂直	apeak(adv.)|perpendicularity(n.)|plumb(n.)|plumb(adj.)|vertical(n.)|vertical(adj.)|verticality(n.)|vertically(adv.);
竖着锚	apeak(adv.);
孔	aperture(n.)|bore(n.)|hole(n.)|orifice(n.)|pore(n.)|vulva(n.);
缝隙	aperture(n.);
仿人	apery(n.);
摹仿	apery(n.)|echo(v.);
猴房	apery(n.);
远日点	[天]aphelion;
蚜虫	aphid|aphis;
失声	aphonia(n.);
无声	aphonia(n.)|breathed(adj.)|noiseless(adj.)|noiselessly(adv.)|soundless(adj.)|soundlessly(adv.)|voiceless(adj.)|whist(adj.);
金言	aphorism(n.);
警句家	aphorist(n.);
蜜蜂	apian(adj.)|apiarian(adj.)|bee(n.);
养蜂	apiarian(adj.)|apiculture(n.);
养蜂家	apiarist(n.)|apiculturist(n.)|beemaster(n.);
养蜂场	apiary(n.);
蜂房	apiary(n.);
顶上	apical(adj.);
每人	apiece(adv.)|each(adv.);
各个	apiece(adv.)|severally(adv.);
沉着	aplomb(n.)|cold(adj.)|coolly(adv.)|dispassionate(adj.)|evenminded(adj.)|gravity(n.)|imperturbable(adj.)|quietly(adv.);
启示	apocalypse(n.)|oracle(n.);
天启	apocalypse(n.)|revelatory(adj.);
最高点	apogee(n.)|vertex(n.);
远地点	apogee(n.);
阿波罗	apollo(n.);
美男子	apollo(n.);
辩解	apologetically(adv.)|plea(n.)|pleading(n.);
辩解文	apologia(n.);
辩解书	apologia(n.);
辩解者	apologist(n.)|pleader(n.);
谋士	apologist(n.);
教训	apologue(n.)|edification(n.)|instructive(adj.)|lecture(n.)|moral(n.)|precept(n.);
辩护	apology(n.)|defend(vt.)|justification(n.)|plead(v.)|vindicate(v.)|vindication(n.)|vindicative(adj.);
远月点	apolune(n.);
岩枝	apophyse(n.)|apophysis(n.);
隆起	apophysis(n.)|promontory(n.)|tumid(adj.)|upheaval(n.);
突起	apophysis(n.)|lug(n.)|prominence(n.)|promontory(n.)|protuberance(n.)|protuberant(adj.)|tuber(n.);
中风	[医]apoplexy(n.)|palsy(n.)|stroke(n.);
在左舷	aport(adv.);
顿绝法	aposiopesis(n.);
背	apostasy(n.);
脱党	apostasy(n.);
变节	apostasy(n.)|rat(v.)|tergiversate(v.)|tergiversation(n.)|treachery(n.);
背教	apostate(adj.);
省略号	apostrophe(n.)|ellipsis;
药房	apothecary(n.)|[英]chemist(n.)|dispensary(n.)|drugstore(n.)|pharmacy(n.);
尊为神	apotheosis(n.)|apotheosize(v.);
封神	apotheosis(n.)|apotheosize(v.);
神化	apotheosis(n.)|apotheosize(v.);
骇人	appalling(adj.)|appallingly(adv.);
器具	apparatus(n.)|applesauce(n.)|appliance(n.)|le|utensil(n.)|ware(n.);
装置	apparatus(n.)|installation(n.)|setting(n.);
衣服	[古]apparel(n.)|clothes(n.)|[集]clothing(n.)|dress(n.)|dressing(n.)|habiliment(n.)|misfit(n.)|rigout(n.)|tog(n.)|toggery(n.)|vestment(n.)|vesture(n.)|wearable(n.);
外表	apparence(n.)|exterior(n.)|exteriority(n.)|ostensible(adj.)|quasi(adj.)|rind(n.)|semblance(n.)|superficial(n.);
明显	apparente(adj.)|clearly(adv.)|evidently(adv.)|naked(adj.)|obvious(adj.)|obviously(adv.)|palpably(adv.)|patency(n.);
外观上	apparently(adv.)|seemingly(pre.);
外表上	apparently(adv.);
鬼	apparition(n.)|ghost(n.);
幻影	apparition(n.)|ghost(n.)|illusion(n.)|phantasm(n.)|phantom(n.)|phantom(adj.)|visionary(adj.);
执行官	apparitor(n.);
布告者	apparitor(n.);
恳请	appeal(vi.)|solicitation(n.)|supplicate(v.);
上诉	appeal(vi.)|appellant(adj.)|appellate(adj.);
显现	appear(vi.)|show(v.);
出场	appear(vi.);
外观	appearance(n.)|facies(n.)|guise(n.)|outside(n.)|seeming(n.)|semblance(n.);
样子	appearance(n.)|aspect(n.)|colour(n.)|mien(n.)|mode(n.)|semblance(n.)|sort(n.);
出席	appeared(v.)|attendance(n.)|presence(n.)|present(adj.);
平息	appease(vt.)|patch(v.)|quell(v.)|subjugation(n.)|subside(v.)|subsidise(v.);
满足	appease(vt.)|complacence(n.)|complacency(n.)|complacent(adj.)|content(pl.)|contented(adj.)|contentment(n.)|pleased(adj.)|satisfaction(n.)|suit(v.);
姑息	appeasement(n.);
缓靖	appeasement(n.);
控诉人	appellant(n.);
上诉人	appellant(n.)|appellantor(n.);
控诉	appellate(adj.)|complain(vi.)|complaint(n.)|impeach(vt.)|impeachment(n.)|[法]indict(vt.)|indictment(n.)|litigate(v.);
名称	appellation(n.)|calling(n.)|denomination(n.)|name(n.)|tag(n.)|title(n.);
称呼	appellation(n.)|style(v.);
悬挂	append(vt.)|hanging(n.)|pensile(adj.)|suspension(n.);
附上	append(vt.)|attach(v.)|attached(adj.)|attached(v.);
割盲肠	appendectomy(n.);
盲肠炎	[医]appendicitis(n.)|[医]caecitis(n.);
厢房	appentice(n.);
耳房	appentice(n.);
统觉	apperception(n.);
明觉	apperception(n.);
类化	apperception(n.);
关系	appertain(v.)|ative|connect(v.)|connection(n.)|ile|intercourse(n.)|rapport(n.)|relation(n.)|relationship(n.)|respecting(pre.);
慾望	appetence(n.)|appetite(n.)|lust(n.);
性慾	appetence(n.);
本能	appetence(n.)|instinct(n.)|instinctive(adj.)|instinctively(adv.);
性向	appetence(n.);
食慾	appetite(n.)|appetitive(adj.)|stomach(n.);
开胃菜	appetizer(n.);
开胃	appetizing(adj.);
苹果	apple(n.);
苹果车	applecart(n.);
苹果酒	applejack(n.)|cider(n.)|cider，hard(n.);
适用	applesauce(n.)|apply(v.);
适用性	applicability(n.);
申请人	applicant(n.)|proposer(n.);
申请书	application(n.);
施力器	applicator(n.);
实用	applied(adj.)|practicably(adv.)|practicality(n.)|practically(adv.);
嵌花	applique(n.)|applique(adj.);
贴花	applique(n.)|applique(adj.);
缝花	applique(n.);
申请	apply(v.);
指定	appoint(v.)|appointed(adj.)|assign(vt.)|assignation(n.)|assignment(n.)|destine(vt.)|nominate(vt.)|specify(v.);
约定	appoint(v.)|conventional(adj.)|plight(v.)|promise(n.)|promise(v.)|promissory(adj.)|stipulation(n.)|troth(n.)|troth(v.);
选定	appointed(adj.);
约会	appointment(n.)|date(n.)|engagement(n.)|rendezvous(n.)|tryst(n.);
职位	appointment(n.)|billet(n.)|cy|position(n.)|post(n.)|ship;
家具	appointment(pl.);
幻像	apport(n.)|phantasm(n.);
分摊	apportion(vt.)|apportionment(n.);
添	appose(v.);
附	appose(v.);
同格	[文]apposite(adj.)|[文]apposition(n.)|[文]appositional(adj.);
并置	apposition(n.)|juxtapose(vt.)|juxtaposition(n.);
评价	appraisal(n.)|appraise(v.)|appreciate(v.)|appreciation(n.)|evaluate(v.)|evaluation(n.)|opinion(n.)|valuation(n.)|value(v.);
监定	appraise(v.)|authenticate(v.)|authentication(n.);
评价人	appraiser(n.);
监定人	appraiser(n.);
估价官	appraiser(n.);
略微	appreciably(adv.);
有一点	appreciably(adv.);
重视	appreciate(v.)|treasure(v.)|value(v.);
欣赏	appreciate(v.)|enjoy(vt.);
增值	appreciate(v.);
监赏	appreciation(n.);
逮补	apprehend(vt.)|apprehension(n.);
理解	apprehend(vt.)|apprehension(n.)|comprehend(vt.)|comprehension(n.)|fathom(vt.)|perceive(v.)|understanding(n.);
可理解	apprehensibility(n.);
徒弟	apprentice(n.)|disciple(n.);
学徒	apprentice(n.);
做学徒	apprentice(vt.);
通知	apprise(v.)|communicate(v.)|communication(n.)|impart(vt.)|inform(v.)|information(n.)|intimation(n.)|notice(n.)|notify(vt.)|warn(v.)|warning(n.);
报知	apprise(v.);
走近	approach(v.)|approach(n.);
逼近	approach(v.)|edging(n.);
通路	approach(n.)|[美]entry(n.)|[剧]lead(n.)|passage(n.)|runway(n.)|thoroughfare(n.);
门径	approach(n.)|avenue(n.);
近路	approach(n.)|[美]cutoff(n.);
可接近	approachability(n.);
核准	approbation(n.)|approval(n.)|approve(v.)|sanction(n.);
批可	approbation(n.);
采纳	approbatory(adj.);
擅用	appropriate(vt.);
拨充	appropriate(vt.);
专用	appropriation(n.)|appropriative(adj.);
私用	appropriation(n.);
拨款	appropriation(n.);
充当	appropriative(adj.);
满意	approving(adj.)|approvingly(adv.)|content(adj.)|satisfactorily(adv.)|satisfactory(adj.)|satisfying(adj.)|wellpleasing(adj.);
赞许	approvingly(adv.)|countenance(n.);
大致	approximately(adv.)|much(adv.);
近乎	approximately(adv.);
近似值	[数]approximation(n.);
从属物	appurtenant(n.)|dependency(n.);
从属	appurtenant(adj.)|dependant(n.)|dependence(n.)|subordinative(adj.)|tributary(adj.);
杏	[植]apricot(n.);
杏树	[植]apricot(n.);
杏色	[植]apricot(n.)|[植]apricot(adj.);
四月	april(n.);
先验性	apriority(n.);
围裙	apron(n.)|pinafore(n.);
满围裙	apronful(n.);
恰好	apropos(adv.)|nicely(adv.)|opportune(adj.)|pat(adv.);
易於	apt(adj.);
倾向於	apt(adj.);
无翅	apteral(adj.)|apterous(adj.);
无翼	apteral(adj.)|apterous(adj.);
资质	aptitude(n.);
适宜	aptly(adv.)|befittingly(adv.)|well(adj.);
适合性	aptness(n.);
水	aqua(n.)|hydro(pref.)|smartweed(n.)|water(n.);
溶液	aqua(n.)|solution(n.);
水产业	aquaculture(n.);
水肺	aqualung(n.);
绿玉	aquamarine(n.)|[矿]beryl(n.);
碧绿色	aquamarine(n.);
滑水板	aquaplane(n.);
水彩画	[法]aquarelle(n.);
宝瓶座	[天]aquarius(n.);
水管桥	aqueduct(n.);
导管	[解]aqueduct(n.)|conduit(n.)|leader(n.)|trachea(n.);
水的	aqueous(adj.)|watery(adj.);
水成	aqueous(adj.);
就鸟座	aquila(n.);
似鹰	aquiline(adj.);
…的	ar|atic|ial;
蛛网膜	arachnoid(n.);
文石	aragonite(n.);
芳烷基	aralkil(n.);
南洋杉	araucaria(n.);
裁判人	arbiter(n.);
裁判	arbitrage(n.)|arbitrament(n.)|judgment(n.)|referee(v.);
套汇	[商]arbitrage(n.);
仲裁	arbitral(adj.)|arbitrate(vt.)|arbitration(n.)|referee(v.);
任意	arbitrarily(adv.)|arbitrariness(n.)|arbitrary(adj.)|random(n.)|random(adj.)|voluntariness(n.);
武断	arbitrarily(adv.)|dogma(n.)|dogmatic(adj.);
专横	arbitrarily(adv.)|arbitrary(adj.)|bossy(adj.)|imperious(adj.)|masterful(adj.)|peremptoriness(n.);
恣意	arbitrariness(n.);
霸道	arbitrariness(n.);
公断	arbitrate(vt.);
调解	arbitration(n.)|intercession(n.);
仲裁人	arbitrator(n.)|referee(n.)|umpire(n.);
藤架	arbor(n.);
凉亭	arbor(n.)|bower(n.)|summerhouse(n.);
心轴	arbor(n.);
树的	arboreal(adj.);
乔木	arboreal(adj.);
树木状	arborescence(n.);
树质	arborescence(n.);
树园	arboretum(n.);
植物园	arboretum(n.);
树枝状	arborization(n.);
侧柏	arborvitae(n.);
杨梅属	arbutus(n.);
弧	arc(n.);
拱	arc(n.);
拱廊	arcade(n.);
神秘	arcane(adj.)|enigmatic|mysterious(adj.)|mystery(n.)|occult(adj.)|uncannily(adv.)|unearthliness(n.);
秘密	arcanum|backdoor(adj.)|clandestine(adj.)|closely(adv.)|confidence(n.)|confidential(adj.)|mystery(n.)|occult(adj.)|privacy(n.)|private(adj.)|privily(adv.)|secret(n.)|secret(adj.)|secretly(adv.)|sly(adj.)|slyly(adv.)|stealth(n.)|stealthy(adj.)|surreptitious(adj.)|underhand(adj.)|underhanded(adj.)|wrap(n.);
秘方	arcanum;
秘药	arcanum;
回弧	arcback(n.);
主要	arch(pref.)|basically(adv.)|capital(adj.)|cardinal(adj.)|foremost(adj.)|fundamental(adj.)|grand(adj.)|main(adj.)|mainly(adv.)|[喻]material(adj.)|mostly(adv.)|primarily(adv.)|principal(adj.)|principally(adv.)|prinipal(adj.);
考古学	archaeology(n.)|archeology(n.);
古体	archaic(adj.)|archaism(n.);
古语	archaism(n.);
拟古	archaistic(adj.);
天使长	archangel(n.);
大天使	archangel(n.);
大主教	archbishop(n.);
大公	archducal(adj.)|archduke(n.);
大公妃	archduchess(n.);
皇女	archduchess(n.);
弓形	arched(adj.)|arciform(adj.);
有拱	arched(adj.);
造卵器	archegonium(n.);
古物学	archeology(n.);
始生代	archeozoic(n.);
射手	archer(n.)|marksman(n.)|shooter(n.)|shot(n.);
人马宫	[天]archer(n.);
射水鱼	archerfish(n.);
箭术	archery(n.);
群岛海	archipelago(n.);
建筑师	architect(n.);
建筑学	architectonic(n.)|architecture(n.);
体系论	architectonic(n.);
建筑上	architecturally(adv.);
台轮	architrave(n.);
轩缘	architrave(n.);
楣梁	architrave(n.);
档案处	archives(n.);
狡猾	archly(adv.)|archness(n.)|artful(adj.)|cattish(adj.)|catty(adj.)|craftiness(n.)|crafty(adj.)|cunning(n.)|cunning(adj.)|foxy(n.)|guild(n.)|guile(n.)|pawky(adj.)|rascally(adj.)|sly(adj.)|slyly(adv.)|subtle(adj.)|trickish(adj.)|tricksy(adj.)|tricky(adj.)|wiliness(n.);
顽皮	archly(adv.)|impish(adj.)|mischievous(adj.)|naughty(adj.)|pawky(adj.)|rompish(adj.)|slyly(adv.);
淘气	archness(n.)|elfish(adj.)|waggery(n.);
执政官	archon(n.)|praetor(n.);
统治者	archon(n.)|governor(n.)|ruler(n.);
主牧师	archpriest(n.);
拱道	archway(n.);
政治	archy|government(n.)|governmental(adj.)|politics(n.)|polity(n.);
政体	archy|cracy|polity(n.);
拱状	arciform(adj.);
弧光灯	arclamp(n.);
圆弧规	arcograph(n.);
北极圈	arctic(n.);
大角星	arcturus(n.);
热心	ardency(n.)|ardent(adj.)|ardently(adv.)|eagerness(n.)|earnest(n.)|enthusiasm(n.)|enthusiastic(adj.)|enthusiastically(adv.)|intensely(adv.)|solicitous(adj.)|solicitude(n.)|strenuous(adj.)|warmly(adv.)|zealously(adv.)|zealousness(n.);
热烈	ardency(n.)|ardent(adj.)|ardently(adv.)|ardor(n.)|glowing(adj.)|heat(n.)|hot(adj.)|impassioned(adj.)|intense(adj.)|rabid(adj.)|redhot(adj.)|warmblooded(adj.);
热情	ardor(n.)|fervency(n.)|fervent(adj.)|fervor(n.)|flame(n.)|intense(adj.)|intensely(adv.)|passion(n.)|passionate(adj.)|passionately(adv.)|tropical(adj.);
费力	arduous(adj.)|exertion(n.)|toilsome(adj.);
刻苦	arduous(adj.)|assiduity(n.)|assiduous(adj.);
险峻	arduous(adj.)|precipitous(adj.)|steep(adj.)|steeply(adv.)|steepness(n.)|steepy(adj.);
面积	area(n.)|dimension(pl.)|superficial(adj.);
地域	area(n.)|latitude(n.)|terrain(n.)|zone(n.);
槟榔树	areca(n.);
其果实	areca(n.)|bilberry(n.)|tamarind(n.);
斗技场	arena(n.);
舞台	arena(n.)|histrionic(adj.)|proscenium(n.)|stage(n.);
砂的	arenaceous(adj.);
多砂	arenaceous(adj.)|sabulous(adj.);
砂质	arenaceous(adj.);
战神	ares(n.)|[罗神]mars(n.);
盘羊	argali(n.);
原羊	argali(n.);
银	argent(n.)|[化]argentum(n.)|siller(n.)|silver(n.);
银的	argent(adj.)|silver(adj.)|silvern(adj.);
似银	argent(adj.);
银色	argent(adj.)|argentine(adj.)|silvery(adj.);
银铝	argentalium(n.);
含银	argentiferous(adj.)|slivery(adj.);
阿根廷	argenting(n.);
辉银矿	argentite(n.);
陶土	argil(n.)|kaolin(n.);
白黏土	argil(n.);
黏土	argillaceous(adj.)|bole(n.)|clay(n.);
粗酒石	argol(n.);
氩	[化]argon(n.);
阿哥斯	argos(n.);
大商船	argosy(n.);
隐言	argot(n.);
争拗	argue(v.);
说服	argue(v.)|convince(vt.)|persuade(vt.)|persuasion(n.)|reason(v.)|reasoning(v.)|suasion(n.);
辩论	argument(n.)|contest(v.)|controversy(n.)|debate(n.)|forensic(adj.)|pleading(n.);
理由	argument(n.)|excuse(n.)|ground(n.)|justification(n.)|reason(n.)|sake(n.)|whys(n.);
立论	argumentation(n.);
好辩	argumentative(adj.);
议论	argybargy(n.)|discussion(n.);
争吵	argybargy(n.)|brawl(n.)|dispute(n.)|jangle(n.)|jar(n.)|muss(n.)|strife(n.);
银中毒	argyria(n.);
含银液	argyrol(n.);
独唱曲	aria(n.);
乾旱	arid(adj.)|aridity(n.)|drought(n.);
不毛	aridity(n.)|sour(adj.)|sterile(adj.)|sterility(n.);
乏味	aridity(n.)|barren(adj.)|tame(adj.);
白羊座	aries(n.);
白羊宫	aries(n.);
不错	aright(adv.);
假种皮	aril(n.);
抒情曲	arioso(n.);
兴起	arisen(v.);
站立	arises(v.)|stand(n.)|stand(v.)|standing(v.)|standup(adj.)|stood(v.);
贵族	aristocrat(n.)|blueblooded(adj.)|lord(n.)|nobility(n.)|noble(n.)|nobleman(n.)|patrician(n.)|patrician(adj.)|peer(n.)|peerage(n.);
算术	arithmetic(n.)|arithmetical(adj.);
算术家	arithmetician(n.);
计数器	arithmometer(n.);
方舟	[圣]ark(n.);
约柜	[圣]ark(n.);
臂	arm(n.);
武装	arm(v.)|armament(n.)|armed(adj.);
舰队	armada(n.)|fleet(n.)|marine(n.);
犰狳	armadillo(n.);
军备	armament(n.)|weaponry(n.);
武器	armament(n.)|arms(n.)|weapon(n.)|weaponry(n.);
电枢	[电]armature(n.);
甲胄	[电]armature(n.);
臂章	armband(n.);
一抱	armful(n.);
袖孔	armhole(n.);
无装	arming(n.);
徽章	arming(n.)|armorial(adj.)|badge(n.)|insignia(n.);
休战	armistice(n.);
停战	armistice(n.)|truce(n.);
无臂	armless(adj.);
小海湾	armlet(n.)|cove(n.);
盔甲	armor(n.);
装甲	armored(adj.)|iron(vt.)|plated(adj.);
家徽	armorial(adj.);
军械库	armory(n.);
腋窝	armpit(n.);
扶手	armrest(n.)|rail(n.)|railing(n.)|rider(n.);
斗争	arms(n.)|conflict(n.)|tussle(n.);
纹章	arms(n.)|blazon(n.);
军队	army(n.)|military(n.)|military(adj.)|soldiery(n.)|troop(n.);
陆军	army(n.);
山金车	arnica(n.);
安纳德	arnold(n.);
芳香	aroma(n.)|aromatic(adj.)|balminess(n.)|spicery(n.)|sweet(adj.)|sweetness(n.);
香料	aromatic(n.)|flavoring(n.)|incense(n.)|spice(n.)|spicery(n.);
到处	around(adv.)|everywhere(adv.)|universally(adv.);
觉醒	arousal(n.)|disillusion(n.)|rouse(n.)|woke(v.);
唤醒	arouse(vt.)|awakening(adj.)|evoke(vt.)|rouse(v.)|waken(v.)|woke(v.);
引起	arouse(vt.)|arrest(n.)|evoke(vt.)|fic|generate(vt.)|occasion(vt.)|resulting(adj.)|tempt(v.);
提醒	arouse(vt.)|jog(v.)|remind(v.)|remindful(adj.);
琶音	arpeggio(n.);
亚力酒	arrack(n.);
酒	arrack(n.)|intoxicant(n.)|liquor(n.)|tipple(n.)|wine(n.);
空袭	arraid(n.);
传讯	[法]arraign(vt.);
提讯	arraignment(n.);
传问	arraignment(n.);
责难	arraignment(n.)|impugn(vt.)|inculpate(vt.)|objurgation(n.)|objurgatory(adj.)|twit(v.);
整理	arrange(v.)|arrangement(n.)|dress(v.)|fix(v.)|[建]order(vt.)|trim(v.)|trimness(n.);
商定	arrange(v.);
安排	arrange(v.)|arranged(v.)|arrangement(n.)|dispose(v.)|disposition(n.)|fix(v.)|pave(v.)|place(v.);
准备	arranged(v.)|dispose(v.)|equip(vt.)|outfit(n.)|preparation(n.)|preparative(adj.)|preparative(n.)|preparatory(adj.)|prepare(v.)|preparedness(n.)|provision(n.)|readiness(n.)|rigout(n.)|setout(n.);
计画	arranged(v.)|project(n.)|project(v.)|projection(n.)|propose(v.)|purpose(v.)|scheme(n.)|scheme(v.)|scheming(adj.);
极恶	arrant(adj.)|[古]miscreant(adj.);
花毡	arras(n.);
挂毡	arras(n.)|tapestry(n.);
打扮	array(n.)|attire(vt.)|brushup(n.)|prank(v.)|primp(v.)|titivate(v.)|toilet(n.)|toilette(n.)|trig(v.);
整阵	array(n.);
军势	array(n.);
排列	arrayal(n.)|line(n.)|line(vt.)|permutation(n.)|range(v.)|ranging(v.)|rank(v.)|taxis;
耽搁	arrear(n.)|delay(v.)|linger(v.)|procrastinate(v.);
尾数	arrear(pl.);
欠款	arrear(pl.)|arrearage(n.);
迟滞	arrearage(n.);
延滞	arrearage(n.);
